m,k,d,orig,comp
3,5,8000,0.5004624527010525,0.5004622602045448
3,5,8000,0.4998417878933609,0.49984174643840307
3,5,8000,0.5004091686126189,0.5004096748553565
3,5,8000,0.5001787769676874,0.5001792205533073
3,5,8000,0.4998540177000237,0.4998546409329838
3,5,8000,0.5008343967316002,0.5008340557804335
3,5,8000,0.4995333472144962,0.49953289908322274
3,5,8000,0.5000578932118906,0.5000574844251837
3,5,8000,0.5002515356796138,0.5002515791893104
3,5,8000,0.5000501364460603,0.5000497106189231
3,5,16000,0.500036520562723,0.5000365303856248
3,5,16000,0.5002071415485131,0.5002070882412742
3,5,16000,0.50024192484336,0.5002417237473931
3,5,16000,0.5000658734520191,0.5000661091675273
3,5,16000,0.500125342125963,0.5001259187862629
3,5,16000,0.5000102563263089,0.5000103391631038
3,5,16000,0.49940254525059397,0.49940277994749593
3,5,16000,0.5003635960553243,0.5003624026506714
3,5,16000,0.4995015172345676,0.4995011732379912
3,5,16000,0.5000201156549356,0.5000197199627817
3,5,32000,0.4999033907598299,0.49990320396231963
3,5,32000,0.5003476930422178,0.5003474518059357
3,5,32000,0.4998857053027899,0.49988564721051165
3,5,32000,0.49993882322298705,0.4999387909984941
3,5,32000,0.4999522170828694,0.4999522234861228
3,5,32000,0.4996234978889703,0.49962339382183596
3,5,32000,0.49987797953924373,0.4998779918706071
3,5,32000,0.4999838333210546,0.4999837365685535
3,5,32000,0.5000036220718346,0.5000036398212362
3,5,32000,0.4998006488930674,0.4998006601000732
3,5,64000,0.4999352214901795,0.4999352442349573
3,5,64000,0.4999126327686233,0.4999125673307701
3,5,64000,0.499936869399791,0.49993684047186426
3,5,64000,0.4999992897827879,0.4999991880092486
3,5,64000,0.5000579186254198,0.5000579348826598
3,5,64000,0.5000265485184685,0.5000265387612907
3,5,64000,0.49993278188157836,0.4999328299781443
3,5,64000,0.5000299150983232,0.5000298954913267
3,5,64000,0.4998594519415188,0.49985945117540304
3,5,64000,0.49979778237515754,0.4997978036529241
3,5,128000,0.4998760300235417,0.4998760453345321
3,5,128000,0.5002482653285906,0.5002482511453115
3,5,128000,0.5000334768952535,0.5000334711675158
3,5,128000,0.5000238644401956,0.5000238593985781
3,5,128000,0.4999808581510584,0.4999808590000061
3,5,128000,0.5001203205905644,0.5001203221960286
3,5,128000,0.5001614430940858,0.5001614395689029
3,5,128000,0.5000899572307639,0.500089895875726
3,5,128000,0.5000038583422164,0.5000038548487643
3,5,128000,0.5000001830866201,0.5000001796868985
3,6,1000,0.5008572464550136,0.5008576077378445
3,6,1000,0.5004846053383988,0.5004852076954561
3,6,1000,0.5012444152959253,0.5012430889584696
3,6,1000,0.4975527684488602,0.497552552283501
3,6,1000,0.4971851763198151,0.49718528051739236
3,6,1000,0.5014889863042515,0.5014890268054845
3,6,1000,0.5009542710184413,0.5009477003322906
3,6,1000,0.49858655958066855,0.4985908342661654
3,6,1000,0.49908642298573785,0.49908561922532335
3,6,1000,0.49920793627481236,0.4992087926832448
3,6,2000,0.49952851741740756,0.49952921442003395
3,6,2000,0.4996363611812847,0.4996360246855446
3,6,2000,0.5004363823027095,0.5004361115716723
3,6,2000,0.49922942679964194,0.49922923536693625
3,6,2000,0.4998397574822818,0.49983974692804256
3,6,2000,0.5002369675848706,0.500237487162237
3,6,2000,0.49900250562937715,0.49900208833175835
3,6,2000,0.5001934419176698,0.5001933558689515
3,6,2000,0.49938870534408963,0.4993874963335638
3,6,2000,0.5010684171389498,0.5010677943195919
3,6,4000,0.49982234674415077,0.4998210365814645
3,6,4000,0.49901952453780596,0.4990210766788023
3,6,4000,0.4995492650805146,0.49955247409716064
3,6,4000,0.5004851472214905,0.500487372375771
3,6,4000,0.5001268230174031,0.5001259316776389
3,6,4000,0.49889407313554424,0.4988945731010885
3,6,4000,0.5002041174058313,0.5002024276658658
3,6,4000,0.49956240961749426,0.4995611206120068
3,6,4000,0.500485649598622,0.5004890903419278
3,6,4000,0.4993828312224317,0.49938315400931593
3,6,8000,0.5004624527010525,0.5004625723071875
3,6,8000,0.4998417878933609,0.49984071482020426
3,6,8000,0.5004091686126189,0.5004095967300732
3,6,8000,0.5001787769676874,0.5001805962107477
3,6,8000,0.4998540177000237,0.4998537979427111
3,6,8000,0.5008343967316002,0.5008342735268656
3,6,8000,0.4995333472144962,0.4995333961006164
3,6,8000,0.5000578932118906,0.5000580141113408
3,6,8000,0.5002515356796138,0.5002513820004996
3,6,8000,0.5000501364460603,0.5000503122484973
3,6,16000,0.500036520562723,0.500036439118877
3,6,16000,0.5002071415485131,0.500207268807008
3,6,16000,0.50024192484336,0.5002416729169177
3,6,16000,0.5000658734520191,0.5000655513908852
3,6,16000,0.500125342125963,0.5001254517894467
3,6,16000,0.5000102563263089,0.5000103867590462
3,6,16000,0.49940254525059397,0.49940247109890085
3,6,16000,0.5003635960553243,0.5003636123751541
3,6,16000,0.4995015172345676,0.49950156290448744
3,6,16000,0.5000201156549356,0.5000201547416909
3,6,32000,0.4999033907598299,0.49990332401968063
3,6,32000,0.5003476930422178,0.5003478122818786
3,6,32000,0.4998857053027899,0.4998856828621282
3,6,32000,0.49993882322298705,0.49993896027189644
3,6,32000,0.4999522170828694,0.49995213879578193
