m,k,d,orig,comp
1,3,16000,0.5001137048493957,0.500113704849396
1,3,16000,0.5000315059758422,0.5000315059758411
1,3,16000,0.49999800975924624,0.49999800975924613
1,3,16000,0.4999403878093434,0.49994038780934374
1,3,16000,0.5001291883855038,0.500129188385505
1,3,16000,0.5000356584006405,0.5000356584006408
1,3,16000,0.5000589086051489,0.5000589086051486
1,3,16000,0.4998400439223365,0.4998400439223365
1,3,16000,0.49999185955662784,0.4999918595566278
1,3,16000,0.49986066913004606,0.4998606691300462
1,3,16000,0.4999242693956545,0.49992426939565443
1,3,32000,0.5000356383345325,0.5000356383345331
1,3,32000,0.5001005392752557,0.5001005392752559
1,3,32000,0.5000720064877706,0.5000720064877711
1,3,32000,0.49996965180470754,0.4999696518047083
1,3,32000,0.5000010524839456,0.5000010524839464
1,3,32000,0.5000643595630168,0.5000643595630178
1,3,32000,0.4999894213282074,0.4999894213282066
1,3,32000,0.4995452502903553,0.49954525029035596
1,3,32000,0.5000006422572332,0.500000642257233
1,3,32000,0.500121303754886,0.5001213037548864
1,3,32000,0.5001003688101269,0.5001003688101281
1,3,32000,0.5002441894643256,0.5002441894643259
1,3,32000,0.49988261595619227,0.4998826159561925
1,3,32000,0.500092891345638,0.5000928913456371
1,3,32000,0.4999931311242913,0.4999931311242902
1,3,32000,0.4997517184449113,0.4997517184449112
1,3,32000,0.49994850073142444,0.49994850073142594
1,3,32000,0.5004720324585485,0.5004720324585493
1,3,32000,0.4999472190836927,0.49994721908369194
1,3,32000,0.5000053364496371,0.500005336449638
1,3,64000,0.4999829817842465,0.4999829817842452
1,3,64000,0.5000299437348441,0.5000299437348438
1,3,64000,0.5000093618401993,0.5000093618401994
1,3,64000,0.499905023801144,0.4999050238011446
1,3,64000,0.4999891854391407,0.4999891854391421
1,3,64000,0.500006542547536,0.5000065425475353
1,3,64000,0.4999405357777689,0.4999405357777707
1,3,64000,0.49999123381316884,0.49999123381316773
1,3,64000,0.49988662829792296,0.49988662829792224
1,3,64000,0.4999656051455261,0.4999656051455258
1,3,64000,0.4998972889831845,0.49989728898318525
1,3,64000,0.49989150554665135,0.4998915055466511
1,3,64000,0.4999964921767778,0.4999964921767763
1,3,64000,0.49985121902109564,0.49985121902109536
1,3,64000,0.49991897507192357,0.49991897507192334
1,3,64000,0.4998890748523324,0.4998890748523337
1,3,64000,0.499965820909494,0.4999658209094944
1,3,64000,0.49998470799891614,0.49998470799891737
1,3,64000,0.49987767903925256,0.49987767903925184
